component_model_id,season,Model Week,target,weight
Dynamic Harmonic Model,2010/2011,40,1 wk ahead,0.999999673020546
Historical Average,2010/2011,40,1 wk ahead,3.63313554339858e-08
Subtype Historical Average,2010/2011,40,1 wk ahead,2.90648098952776e-07
Dynamic Harmonic Model,2011/2012,40,1 wk ahead,0.9999997011546
Historical Average,2011/2012,40,1 wk ahead,5.5792331134044e-08
Subtype Historical Average,2011/2012,40,1 wk ahead,2.43053069317879e-07
Dynamic Harmonic Model,2012/2013,40,1 wk ahead,0.999999655684496
Historical Average,2012/2013,40,1 wk ahead,4.34690341468849e-08
Subtype Historical Average,2012/2013,40,1 wk ahead,3.00846469508221e-07
Dynamic Harmonic Model,2013/2014,40,1 wk ahead,0.999999696688716
Historical Average,2013/2014,40,1 wk ahead,7.10751338480411e-08
Subtype Historical Average,2013/2014,40,1 wk ahead,2.32236149842907e-07
Dynamic Harmonic Model,2014/2015,40,1 wk ahead,0.999999817816744
Historical Average,2014/2015,40,1 wk ahead,5.06942677907014e-08
Subtype Historical Average,2014/2015,40,1 wk ahead,1.31488988491317e-07
Dynamic Harmonic Model,2015/2016,40,1 wk ahead,0.999999722309207
Historical Average,2015/2016,40,1 wk ahead,4.70098047863882e-08
Subtype Historical Average,2015/2016,40,1 wk ahead,2.3068098813595e-07
Dynamic Harmonic Model,2016/2017,40,1 wk ahead,0.999999715468356
Historical Average,2016/2017,40,1 wk ahead,3.89816117696624e-08
Subtype Historical Average,2016/2017,40,1 wk ahead,2.45550032001584e-07
Dynamic Harmonic Model,2017/2018,40,1 wk ahead,0.999999754718598
Historical Average,2017/2018,40,1 wk ahead,3.46136455884082e-08
Subtype Historical Average,2017/2018,40,1 wk ahead,2.10667756612166e-07
Dynamic Harmonic Model,2010/2011,41,1 wk ahead,0.999977269444507
Historical Average,2010/2011,41,1 wk ahead,2.05514374935871e-12
Subtype Historical Average,2010/2011,41,1 wk ahead,2.27305534375461e-05
Dynamic Harmonic Model,2011/2012,41,1 wk ahead,0.99999586797697
Historical Average,2011/2012,41,1 wk ahead,6.8119376551805e-10
Subtype Historical Average,2011/2012,41,1 wk ahead,4.13134183668037e-06
Dynamic Harmonic Model,2012/2013,41,1 wk ahead,0.999992692806554
Historical Average,2012/2013,41,1 wk ahead,6.45634261665112e-11
Subtype Historical Average,2012/2013,41,1 wk ahead,7.30712888291621e-06
Dynamic Harmonic Model,2013/2014,41,1 wk ahead,0.99999918337341
Historical Average,2013/2014,41,1 wk ahead,1.7904084920367e-07
Subtype Historical Average,2013/2014,41,1 wk ahead,6.37585740965722e-07
Dynamic Harmonic Model,2014/2015,41,1 wk ahead,0.999983520897637
Historical Average,2014/2015,41,1 wk ahead,3.85580992598708e-11
Subtype Historical Average,2014/2015,41,1 wk ahead,1.64790638046736e-05
Dynamic Harmonic Model,2015/2016,41,1 wk ahead,0.999987034225305
Historical Average,2015/2016,41,1 wk ahead,1.22011960390078e-11
Subtype Historical Average,2015/2016,41,1 wk ahead,1.29657624942162e-05
Dynamic Harmonic Model,2016/2017,41,1 wk ahead,0.999984565143911
Historical Average,2016/2017,41,1 wk ahead,9.07000334915013e-12
Subtype Historical Average,2016/2017,41,1 wk ahead,1.54348470190339e-05
Dynamic Harmonic Model,2017/2018,41,1 wk ahead,0.999982855004501
Historical Average,2017/2018,41,1 wk ahead,5.01705613861349e-12
Subtype Historical Average,2017/2018,41,1 wk ahead,1.71449904822826e-05
Dynamic Harmonic Model,2010/2011,42,1 wk ahead,0.99999958999167
Historical Average,2010/2011,42,1 wk ahead,8.05483233328819e-08
Subtype Historical Average,2010/2011,42,1 wk ahead,3.2946000691845e-07
Dynamic Harmonic Model,2011/2012,42,1 wk ahead,0.999999574898905
Historical Average,2011/2012,42,1 wk ahead,1.08232529941217e-07
Subtype Historical Average,2011/2012,42,1 wk ahead,3.16868564856322e-07
