component_model_id,season,Model Week,target,weight
Dynamic Harmonic Model,2014/2015,40,1 wk ahead,0.999999879486746
Historical Average,2014/2015,40,1 wk ahead,7.99205858033016e-08
Subtype Historical Average,2014/2015,40,1 wk ahead,4.05926682310278e-08
Dynamic Harmonic Model,2015/2016,40,1 wk ahead,0.999999847726279
Historical Average,2015/2016,40,1 wk ahead,1.10443878600224e-07
Subtype Historical Average,2015/2016,40,1 wk ahead,4.18298428239685e-08
Dynamic Harmonic Model,2016/2017,40,1 wk ahead,0.999999906820246
Historical Average,2016/2017,40,1 wk ahead,6.76499786128421e-08
Subtype Historical Average,2016/2017,40,1 wk ahead,2.55297756205925e-08
Dynamic Harmonic Model,2017/2018,40,1 wk ahead,0.999999917156843
Historical Average,2017/2018,40,1 wk ahead,5.72322946833718e-08
Subtype Historical Average,2017/2018,40,1 wk ahead,2.56108618512094e-08
Dynamic Harmonic Model,2014/2015,41,1 wk ahead,0.999993499573722
Historical Average,2014/2015,41,1 wk ahead,6.49907957185847e-06
Subtype Historical Average,2014/2015,41,1 wk ahead,1.34670613863291e-09
Dynamic Harmonic Model,2015/2016,41,1 wk ahead,0.999998275021022
Historical Average,2015/2016,41,1 wk ahead,1.50470120808731e-06
Subtype Historical Average,2015/2016,41,1 wk ahead,2.20277769731359e-07
Dynamic Harmonic Model,2016/2017,41,1 wk ahead,0.999999829869799
Historical Average,2016/2017,41,1 wk ahead,1.31363839025049e-07
Subtype Historical Average,2016/2017,41,1 wk ahead,3.87663616072508e-08
Dynamic Harmonic Model,2017/2018,41,1 wk ahead,0.999998226733412
Historical Average,2017/2018,41,1 wk ahead,1.51133426379125e-06
Subtype Historical Average,2017/2018,41,1 wk ahead,2.61932324455389e-07
Dynamic Harmonic Model,2014/2015,42,1 wk ahead,0.677361332898655
Historical Average,2014/2015,42,1 wk ahead,0.32261015270958
Subtype Historical Average,2014/2015,42,1 wk ahead,2.85143917644239e-05
Dynamic Harmonic Model,2015/2016,42,1 wk ahead,0.727583562419501
Historical Average,2015/2016,42,1 wk ahead,9.89575779831038e-05
Subtype Historical Average,2015/2016,42,1 wk ahead,0.272317480002516
Dynamic Harmonic Model,2016/2017,42,1 wk ahead,0.711032503988515
Historical Average,2016/2017,42,1 wk ahead,0.00302769856253048
Subtype Historical Average,2016/2017,42,1 wk ahead,0.285939797448955
Dynamic Harmonic Model,2017/2018,42,1 wk ahead,0.999999847082702
Historical Average,2017/2018,42,1 wk ahead,6.13634887455287e-08
Subtype Historical Average,2017/2018,42,1 wk ahead,9.15538092461576e-08
Dynamic Harmonic Model,2014/2015,43,1 wk ahead,0.923022652501833
Historical Average,2014/2015,43,1 wk ahead,0.0769379321089645
Subtype Historical Average,2014/2015,43,1 wk ahead,3.94153892020711e-05
